"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"0.0%","1.8%","6.5%","100%","100%",4,2,9,6.5,"81.3%","14.3%","100%",346,642,15,6.8,"18.9%",496,"19.7%","19.5%",0.58,0.39
"Aatrox","Top",145,"4.7%","1.8%","6.5%","42%","65%",360,424,578,2.2,"56.2%","22.7%","4%",16,104,1.7,8.2,"25.4%",467,"23.2%","22.6%",0.37,0.2
"Ahri","Middle",699,"22.8%","19.5%","42.3%","51%","40%",2225,1285,4246,5,"70.4%","14.9%","9%",36,3,0.4,8.5,"25.4%",513,"25.2%","22.9%",0.53,0.32
"Akali","Middle",250,"8.2%","15.0%","25.4%","42%","68%",984,588,884,3.2,"63.3%","19.0%","7%",-108,22,-2.8,8.2,"24.7%",480,"24.2%","23.2%",0.26,0.21
"Akali","Top",71,"2.3%","15.0%","25.4%","54%","66%",294,209,267,2.7,"54.3%","24.4%","13%",-65,93,-5.1,7.7,"23.0%",461,"24.4%","21.9%",0.32,0.17
"Akshan","Top",12,"0.4%","0.6%","0.9%","50%","75%",32,35,41,2.1,"54.5%","21.9%","25%",160,120,7.3,8.2,"22.5%",427,"23.3%","23.0%",0.38,0.23
"Alistar","Support",254,"8.3%","5.9%","14.2%","47%","71%",141,874,2174,2.6,"70.6%","26.0%","14%",10,14,0.1,1,"2.0%",123,"6.1%","8.6%",1.71,0.29
"Amumu","Jungle",6,"0.2%","1.5%","4.2%","83%","100%",12,19,55,3.5,"74.4%","29.7%","50%",212,144,1.4,5.8,"17.5%",337,"15.7%","17.6%",0.24,0.36
"Amumu","Support",77,"2.5%","1.5%","4.2%","44%","70%",54,314,663,2.3,"69.5%","28.3%","25%",-138,-92,-3.9,1.1,"2.7%",170,"8.5%","8.6%",1.67,0.27
"Anivia","Middle",3,"0.1%","0.0%","0.2%","33%","100%",17,6,16,5.5,"76.7%","13.3%","33%",258,387,9,9,"29.3%",587,"25.1%","25.8%",0.41,0.17
"Anivia","Top",1,"0.0%","0.0%","0.2%","0%","100%",0,3,3,1,"75.0%","25.0%","-","-","-","-",6.8,"-",585,"39.4%","18.6%",0.45,0
"Annie","Middle",286,"9.3%","13.8%","25.1%","51%","39%",688,719,1912,3.6,"71.2%","20.8%","5%",28,13,0.5,7.5,"20.3%",541,"25.8%","21.2%",0.32,0.21
"Annie","Support",57,"1.9%","13.8%","25.1%","56%","32%",56,141,494,3.9,"78.0%","22.1%","7%",-74,-169,-6.8,0.7,"2.6%",227,"10.8%","9.8%",0.99,0.43
"Annie","Top",1,"0.0%","13.8%","25.1%","100%","100%",4,1,12,16,"55.2%","11.1%","-","-","-","-",6.4,"-",484,"18.8%","16.2%",0.27,0.12
"Aphelios","ADC",1204,"39.3%","11.8%","51.1%","48%","47%",4613,2802,4989,3.4,"66.4%","18.5%","8%",33,-5,1.7,9.6,"32.4%",552,"27.6%","27.3%",0.44,0.37
"Ashe","ADC",92,"3.0%","13.3%","20.2%","41%","72%",278,230,556,3.6,"71.8%","18.3%","18%",89,54,0.7,8.7,"27.0%",518,"23.1%","24.0%",0.45,0.36
"Ashe","Support",121,"4.0%","13.3%","20.2%","49%","29%",97,321,1009,3.4,"73.1%","20.1%","11%",113,37,-5.8,1,"4.2%",354,"15.3%","10.5%",2.05,0.65
"Aurelion Sol","Middle",20,"0.7%","0.8%","1.4%","40%","65%",96,33,87,5.5,"78.5%","12.0%","5%",-187,-196,-9.2,9.5,"30.2%",673,"32.4%","26.9%",0.45,0.19
"Azir","Middle",642,"21.0%","17.4%","38.6%","49%","39%",1871,1495,3008,3.3,"66.6%","19.0%","12%",48,83,2.4,9.1,"27.3%",635,"29.9%","24.5%",0.43,0.27
"Azir","Support",1,"0.0%","17.4%","38.6%","0%","100%",0,5,3,0.6,"37.5%","20.0%","0%",92,-282,-5,0.7,"2.6%",280,"13.7%","8.5%",1.5,0.49
"Azir","Top",4,"0.1%","17.4%","38.6%","25%","25%",4,12,11,1.3,"50.0%","21.8%","0%",-159,-120,-6.7,8.3,"23.2%",521,"26.5%","22.5%",0.34,0.17
"Bard","Support",17,"0.6%","0.3%","0.8%","53%","76%",20,37,135,4.2,"75.2%","19.5%","6%",-128,-61,-16.1,1.1,"2.6%",201,"9.6%","9.4%",2.22,0.51
"Bel'Veth","Jungle",12,"0.4%","0.4%","0.8%","58%","75%",35,36,57,2.6,"64.8%","21.7%","17%",168,383,6.5,6.8,"16.5%",304,"14.2%","19.7%",0.32,0.45
"Blitzcrank","Support",90,"2.9%","3.2%","6.2%","56%","94%",77,295,721,2.7,"61.3%","25.5%","13%",-119,-104,-1.5,1.1,"2.1%",166,"7.7%","9.0%",1.73,0.32
"Brand","Middle",1,"0.0%","0.0%","0.0%","100%","100%",3,2,7,5,"90.9%","28.6%","-","-","-","-",8.8,"-",812,"31.2%","23.4%",0.43,0.15
"Braum","Support",216,"7.1%","3.1%","10.2%","45%","81%",95,632,1819,3,"76.0%","22.3%","9%",-13,46,0.9,1.1,"2.0%",148,"7.4%","8.7%",1.61,0.31
"Caitlyn","ADC",151,"4.9%","24.9%","30.2%","54%","26%",618,272,613,4.5,"67.7%","15.7%","19%",255,93,7.1,9.6,"31.1%",545,"26.2%","27.3%",0.37,0.4
"Caitlyn","Support",13,"0.4%","24.9%","30.2%","54%","69%",20,38,87,2.8,"60.1%","20.5%","23%",483,2,-0.4,1.6,"7.0%",393,"15.6%","14.6%",1.59,0.98
"Camille","Support",1,"0.0%","5.3%","10.9%","0%","100%",0,3,1,0.3,"25.0%","16.7%","0%",62,361,1,1.3,"2.8%",152,"9.5%","7.5%",2.19,0.44
"Camille","Top",172,"5.6%","5.3%","10.9%","51%","63%",481,495,761,2.5,"55.3%","22.4%","6%",-80,-48,-4.6,7.8,"24.4%",413,"21.5%","22.6%",0.34,0.2
"Cassiopeia","Middle",31,"1.0%","1.4%","2.5%","42%","84%",74,68,140,3.1,"62.0%","18.2%","13%",57,-62,0.1,8.7,"25.0%",472,"23.7%","23.3%",0.43,0.21
"Cassiopeia","Top",1,"0.0%","1.4%","2.5%","0%","100%",3,4,7,2.5,"47.6%","18.2%","-","-","-","-",8,"-",380,"17.9%","20.6%",0.2,0.25
"Cho'Gath","ADC",2,"0.1%","0.3%","0.8%","50%","100%",5,5,2,1.4,"50.0%","14.3%","0%",-44,316,12,8.6,"28.3%",343,"17.5%","23.7%",0.39,0.16
"Cho'Gath","Top",16,"0.5%","0.3%","0.8%","44%","88%",29,49,60,1.8,"54.6%","21.8%","13%",-79,-101,0.5,7.6,"20.4%",452,"20.9%","21.9%",0.4,0.16
"Corki","Middle",267,"8.7%","12.7%","21.5%","52%","34%",808,525,1385,4.2,"68.5%","15.6%","7%",-26,-70,-0.8,9.5,"29.5%",708,"34.3%","26.9%",0.46,0.24
"Corki","Top",2,"0.1%","12.7%","21.5%","50%","0%",5,5,10,3,"44.1%","15.2%","0%",400,158,12,8.7,"30.3%",799,"33.1%","26.5%",0.49,0.25
"Darius","Top",10,"0.3%","0.3%","0.6%","50%","90%",41,27,30,2.6,"58.2%","22.0%","10%",-257,-460,-18,7.9,"27.3%",430,"21.1%","23.6%",0.28,0.2
"Diana","Jungle",62,"2.0%","3.7%","5.7%","47%","68%",173,182,334,2.8,"68.6%","22.3%","18%",265,340,9.8,7,"19.5%",348,"19.6%","20.4%",0.31,0.3
"Dr. Mundo","Support",1,"0.0%","0.0%","0.1%","100%","100%",2,0,6,8,"57.1%","0.0%","100%",1217,988,69,7.7,"20.9%",238,"11.8%","18.8%",0.52,0.29
"Draven","ADC",153,"5.0%","9.9%","14.9%","48%","76%",624,369,665,3.5,"68.0%","18.4%","10%",89,49,3,9.1,"29.8%",518,"25.0%","28.8%",0.38,0.31
"Ekko","Middle",1,"0.0%","0.0%","0.0%","0%","100%",2,4,4,1.5,"75.0%","25.0%","-","-","-","-",7,"-",361,"21.0%","25.4%",0.53,0.19
"Elise","Jungle",103,"3.4%","12.5%","15.9%","54%","40%",242,246,560,3.3,"65.7%","21.1%","27%",124,-68,-2.1,5.3,"15.6%",407,"18.1%","17.6%",0.7,0.54
"Ezreal","ADC",270,"8.8%","3.3%","12.1%","46%","71%",924,565,1095,3.6,"64.3%","16.4%","12%",53,43,4.1,9.6,"31.7%",685,"31.8%","26.8%",0.4,0.3
"Ezreal","Middle",1,"0.0%","3.3%","12.1%","0%","100%",0,2,2,1,"50.0%","11.1%","0%",-159,-367,-8,9.9,"31.9%",646,"28.4%","24.6%",0.55,0.19
"Fiora","Top",186,"6.1%","11.6%","17.6%","52%","67%",546,378,563,2.9,"49.2%","17.0%","9%",27,-42,1.8,8.9,"28.6%",505,"24.0%","24.7%",0.33,0.21
"Galio","Middle",139,"4.5%","4.9%","9.7%","50%","81%",300,311,983,4.1,"72.9%","18.8%","9%",-183,-96,-6.9,7.5,"22.0%",373,"19.8%","20.2%",0.46,0.21
"Galio","Support",7,"0.2%","4.9%","9.7%","57%","100%",4,25,67,2.8,"74.7%","28.1%","0%",31,94,0.7,1.2,"3.5%",215,"9.9%","9.1%",1.71,0.3
"Gangplank","Top",198,"6.5%","7.4%","13.9%","56%","59%",601,523,1047,3.2,"65.6%","22.7%","16%",190,7,1.4,8.8,"28.0%",670,"30.9%","27.1%",0.39,0.12
"Garen","Top",1,"0.0%","0.1%","0.1%","100%","100%",6,0,4,10,"52.6%","0.0%","0%",399,20,2,9.2,"27.0%",465,"18.5%","26.1%",0.28,0.3
"Gnar","Top",679,"22.2%","13.0%","35.2%","50%","47%",1404,1787,2882,2.4,"53.7%","21.4%","7%",-4,30,1.7,8.5,"25.2%",505,"24.9%","23.4%",0.37,0.22
"Gragas","Jungle",29,"0.9%","7.5%","23.1%","34%","62%",62,100,158,2.2,"61.5%","22.9%","17%",-18,-30,-0.6,5.6,"16.8%",449,"19.1%","17.1%",0.5,0.31
"Gragas","Middle",77,"2.5%","7.5%","23.1%","42%","57%",130,196,426,2.8,"61.7%","19.6%","9%",-91,41,-1.8,7.7,"22.1%",453,"22.8%","19.9%",0.32,0.23
"Gragas","Support",9,"0.3%","7.5%","23.1%","78%","78%",5,22,72,3.5,"56.2%","24.4%","11%",-271,-25,-10.6,1.2,"2.8%",211,"10.6%","8.6%",1.62,0.35
"Gragas","Top",360,"11.8%","7.5%","23.1%","53%","53%",544,821,1867,2.9,"54.5%","20.0%","8%",-125,-35,-5.7,7.3,"21.2%",446,"22.2%","19.5%",0.37,0.17
"Graves","Jungle",50,"1.6%","5.3%","13.0%","38%","90%",165,137,261,3.1,"69.0%","19.8%","16%",106,101,2.8,7.1,"21.7%",416,"20.8%","22.4%",0.58,0.61
"Graves","Middle",4,"0.1%","5.3%","13.0%","50%","100%",14,12,22,3,"59.0%","25.5%","50%",264,-19,-8.7,8.1,"24.1%",450,"21.3%","21.4%",0.38,0.2
"Graves","Top",182,"5.9%","5.3%","13.0%","48%","42%",424,482,723,2.4,"54.2%","20.9%","7%",76,32,3,9.5,"29.5%",513,"27.6%","25.2%",0.38,0.21
"Gwen","Jungle",3,"0.1%","24.3%","42.2%","33%","33%",13,9,10,2.6,"67.6%","18.0%","33%",403,281,10.7,9.8,"26.5%",410,"22.9%","25.7%",0.33,0.52
"Gwen","Top",544,"17.8%","24.3%","42.2%","48%","39%",1425,1455,2112,2.4,"55.1%","21.1%","6%",-66,-35,0.6,8.5,"26.2%",489,"25.7%","23.5%",0.34,0.24
"Hecarim","Jungle",163,"5.3%","6.7%","12.0%","54%","27%",441,403,1207,4.1,"72.1%","19.9%","17%",145,141,2.5,6.1,"16.4%",260,"13.7%","18.1%",0.38,0.39
"Heimerdinger","ADC",1,"0.0%","2.4%","6.6%","0%","100%",1,1,1,2,"100.0%","10.0%","0%",-407,472,-15,8,"24.9%",460,"38.2%","23.4%",0.44,0.19
"Heimerdinger","Support",128,"4.2%","2.4%","6.6%","50%","48%",129,317,800,2.9,"61.2%","21.5%","11%",175,-103,-4.3,1,"3.8%",338,"15.1%","10.4%",1.43,0.51
"Illaoi","Top",4,"0.1%","0.2%","0.3%","25%","100%",6,22,12,0.8,"47.4%","29.7%","0%",36,-308,2.7,7.7,"21.4%",621,"30.0%","22.2%",0.4,0.11
"Irelia","Middle",16,"0.5%","2.7%","4.6%","38%","75%",48,63,67,1.8,"58.1%","25.6%","19%",137,-35,6.1,9.4,"29.4%",498,"21.8%","24.0%",0.31,0.21
"Irelia","Top",44,"1.4%","2.7%","4.6%","48%","95%",154,143,162,2.2,"55.2%","24.2%","9%",132,18,5.1,9.1,"28.0%",413,"22.1%","25.2%",0.34,0.14
"Ivern","Jungle",50,"1.6%","3.8%","5.4%","54%","62%",59,81,466,6.5,"81.0%","13.8%","18%",-113,41,-0.9,4.9,"12.3%",219,"9.9%","16.3%",0.37,0.37
"Ivern","Middle",1,"0.0%","3.8%","5.4%","100%","100%",1,1,6,7,"70.0%","25.0%","0%",-323,-351,-18,7.2,"14.8%",255,"13.6%","17.5%",0.35,0.19
"Janna","Support",9,"0.3%","0.2%","0.6%","56%","89%",3,11,67,6.4,"77.8%","11.1%","11%",-77,-124,2.4,0.8,"2.8%",114,"5.3%","9.2%",2.03,0.39
"Janna","Top",1,"0.0%","0.2%","0.6%","100%","0%",1,2,17,9,"81.8%","15.4%","0%",-1812,-2642,-82,1.2,"5.2%",75,"4.3%","10.3%",2.02,0.41
"Jarvan IV","Jungle",159,"5.2%","6.5%","12.0%","49%","53%",288,486,1445,3.6,"84.9%","23.9%","27%",-85,-106,-2.5,5.2,"13.1%",233,"11.9%","16.6%",0.37,0.47
"Jarvan IV","Support",6,"0.2%","6.5%","12.0%","67%","83%",6,17,53,3.5,"68.6%","28.3%","17%",137,-90,-7.5,0.5,"1.6%",201,"10.1%","8.9%",1.57,0.41
"Jarvan IV","Top",3,"0.1%","6.5%","12.0%","0%","100%",3,15,10,0.9,"39.4%","23.8%","0%",-335,-60,-10,7.6,"16.8%",372,"21.1%","19.3%",0.37,0.28
"Jax","Jungle",2,"0.1%","21.3%","36.9%","0%","50%",3,7,5,1.1,"53.3%","28.0%","50%",-333,-486,-13,5.4,"19.1%",260,"14.4%","17.5%",0.49,0.21
"Jax","Top",473,"15.5%","21.3%","36.9%","52%","43%",1309,1178,1718,2.6,"51.0%","20.2%","10%",-69,-101,-2.4,8.4,"26.0%",453,"21.9%","23.4%",0.42,0.16
"Jayce","Middle",274,"9.0%","25.6%","43.4%","55%","37%",1146,637,1382,4,"71.7%","19.1%","7%",-29,-88,-1.6,8.8,"26.0%",692,"28.8%","25.0%",0.42,0.3
"Jayce","Top",269,"8.8%","25.6%","43.4%","54%","41%",749,778,1274,2.6,"59.9%","22.4%","10%",103,-53,5.3,8.7,"26.7%",673,"31.3%","24.6%",0.42,0.23
"Jhin","ADC",162,"5.3%","1.2%","6.8%","38%","78%",518,287,811,4.6,"68.1%","13.7%","14%",-175,-65,-3.5,9,"30.2%",465,"22.8%","24.9%",0.42,0.26
"Jhin","Support",8,"0.3%","1.2%","6.8%","75%","75%",16,10,62,7.8,"73.6%","11.2%","0%",51,-86,-2,1.5,"6.0%",279,"12.5%","11.9%",1.95,0.86
"Jinx","ADC",783,"25.6%","6.8%","32.4%","51%","53%",3084,1659,3772,4.1,"70.6%","17.2%","10%",20,-57,1.2,10,"34.4%",573,"29.3%","28.2%",0.43,0.42
"K'Sante","Middle",31,"1.0%","12.3%","34.4%","52%","39%",68,65,135,3.1,"58.8%","17.2%","10%",83,72,1.9,7.7,"21.2%",284,"14.5%","20.3%",0.38,0.26
"K'Sante","Top",643,"21.0%","12.3%","34.4%","50%","37%",1417,1459,3073,3.1,"56.4%","18.7%","8%",-32,-24,-1.5,7.9,"23.0%",406,"19.1%","21.2%",0.38,0.16
"Kai'Sa","ADC",353,"11.5%","7.2%","19.2%","54%","35%",1837,751,1715,4.7,"72.4%","16.8%","15%",-91,-12,-1.5,9.9,"32.4%",653,"29.4%","27.7%",0.59,0.36
"Kai'Sa","Middle",13,"0.4%","7.2%","19.2%","31%","85%",58,41,41,2.4,"68.3%","19.7%","0%",-495,-385,-7.6,8.6,"27.1%",790,"35.4%","25.1%",0.53,0.21
"Kalista","ADC",182,"5.9%","17.8%","24.0%","49%","35%",776,433,815,3.7,"68.6%","18.2%","14%",179,130,9.3,9.5,"31.0%",434,"21.4%","27.2%",0.44,0.42
"Kalista","Support",10,"0.3%","17.8%","24.0%","60%","80%",21,28,72,3.3,"68.9%","24.8%","30%",385,387,0.7,1.2,"4.7%",302,"13.0%","13.0%",1.66,0.74
"Karma","Middle",10,"0.3%","10.5%","18.3%","40%","80%",14,22,92,4.8,"83.5%","17.2%","0%",80,82,1,7.4,"21.8%",470,"23.6%","20.3%",0.43,0.3
"Karma","Support",226,"7.4%","10.5%","18.3%","41%","43%",159,529,1625,3.4,"72.8%","19.6%","21%",87,-30,-5.6,0.8,"2.9%",224,"11.1%","9.6%",1.4,0.44
"Karma","Top",3,"0.1%","10.5%","18.3%","67%","0%",2,5,32,6.8,"82.9%","19.2%","33%",-1946,-2618,-62.3,1.3,"2.6%",103,"6.2%","10.4%",0.98,0.32
"Karthus","ADC",2,"0.1%","0.0%","0.2%","50%","50%",4,8,8,1.5,"46.2%","25.0%","0%",-829,340,-1.5,8,"24.3%",630,"36.7%","21.8%",0.41,0.08
"Karthus","Jungle",2,"0.1%","0.0%","0.2%","50%","100%",10,9,27,4.1,"84.1%","25.0%","0%",91,805,11.5,7.1,"21.9%",1009,"35.1%","23.6%",0.29,0.14
"Kassadin","Middle",47,"1.5%","7.0%","8.6%","55%","72%",196,94,219,4.4,"68.3%","16.6%","11%",-230,-112,-5.5,9,"28.5%",570,"26.2%","24.8%",0.28,0.27
"Kayle","Top",50,"1.6%","2.2%","3.8%","44%","80%",143,155,224,2.4,"65.7%","23.9%","6%",-387,-312,-12.3,9.2,"31.6%",518,"26.2%","25.8%",0.42,0.22
"Kayn","Jungle",1,"0.0%","0.0%","0.0%","100%","0%",7,1,5,12,"75.0%","12.5%","100%",992,390,12,8,"21.7%",430,"17.3%","22.9%",0.21,0.21
"Kennen","Top",218,"7.1%","7.5%","14.7%","51%","58%",614,707,1010,2.3,"55.6%","25.7%","6%",374,237,12.4,8,"24.2%",578,"28.1%","22.6%",0.34,0.19
"Kha'Zix","Jungle",83,"2.7%","1.3%","4.0%","53%","78%",287,189,374,3.5,"67.4%","18.5%","12%",66,61,1.5,6.9,"20.2%",409,"18.6%","22.1%",1.09,0.77
"Kindred","Jungle",44,"1.4%","5.8%","7.3%","55%","70%",166,100,240,4.1,"71.9%","20.8%","14%",178,263,6.2,7.1,"22.6%",496,"22.1%","22.2%",0.39,0.55
"Kled","Middle",1,"0.0%","0.1%","0.2%","100%","100%",4,2,10,7,"87.5%","15.4%","-","-","-","-",8.1,"-",452,"20.0%","22.2%",0.55,0.16
"Kled","Top",1,"0.0%","0.1%","0.2%","100%","100%",3,1,2,5,"41.7%","16.7%","0%",-100,-328,-5,8.9,"31.5%",450,"23.1%","26.1%",0.28,0.25
"Kog'Maw","ADC",22,"0.7%","0.2%","0.9%","36%","91%",58,66,101,2.4,"66.8%","21.9%","9%",24,39,0.5,9.2,"31.6%",682,"30.8%","26.2%",0.52,0.41
"LeBlanc","Middle",375,"12.3%","32.8%","45.2%","47%","48%",1210,671,1649,4.3,"61.8%","13.8%","13%",92,116,3,8.5,"25.1%",605,"28.8%","23.6%",0.48,0.34
"LeBlanc","Top",4,"0.1%","32.8%","45.2%","25%","25%",19,14,12,2.2,"59.6%","20.9%","25%",786,506,23.5,8.6,"28.6%",817,"34.2%","27.4%",0.36,0.26
"Lee Sin","Jungle",624,"20.4%","19.3%","40.1%","52%","45%",1729,1662,3890,3.4,"72.9%","21.2%","16%",-11,-49,-1.2,5.7,"15.6%",271,"13.5%","18.0%",0.58,0.33
"Lee Sin","Middle",1,"0.0%","19.3%","40.1%","100%","100%",3,0,3,6,"50.0%","-","-","-","-","-",9.4,"-",464,"19.0%","20.2%",0.54,0.21
"Lee Sin","Support",1,"0.0%","19.3%","40.1%","100%","100%",6,2,14,10,"76.9%","18.2%","0%",1176,743,41,7,"20.5%",485,"20.5%","18.7%",0.51,0.04
"Lee Sin","Top",12,"0.4%","19.3%","40.1%","58%","75%",35,34,50,2.5,"57.0%","23.8%","25%",85,111,4.6,8.8,"26.1%",416,"22.8%","23.5%",0.48,0.23
"Leona","Support",484,"15.8%","5.3%","21.1%","52%","59%",320,1732,3779,2.4,"63.1%","26.7%","13%",-51,-29,2.1,1.2,"2.6%",102,"5.2%","8.8%",1.68,0.43
"Lillia","Jungle",17,"0.6%","0.4%","1.1%","59%","88%",57,32,99,4.9,"76.1%","15.5%","24%",365,362,9.1,7.1,"20.1%",541,"24.1%","20.7%",0.36,0.36
"Lillia","Top",4,"0.1%","0.4%","1.1%","50%","100%",12,10,28,4,"70.2%","23.3%","-","-","-","-",8.9,"-",715,"30.7%","23.2%",0.28,0.14
"Lissandra","Middle",174,"5.7%","6.8%","12.4%","48%","77%",370,462,1221,3.4,"69.0%","20.6%","10%",69,-31,1.4,8.3,"24.7%",446,"22.0%","21.4%",0.4,0.29
"Lucian","ADC",379,"12.4%","25.9%","38.9%","50%","47%",1484,856,1554,3.5,"67.8%","20.1%","13%",65,47,3.6,9.3,"31.2%",652,"29.8%","27.2%",0.41,0.39
"Lucian","Middle",9,"0.3%","25.9%","38.9%","67%","100%",45,22,54,4.5,"74.4%","23.2%","11%",304,136,7.1,8.9,"27.6%",585,"27.9%","27.0%",0.44,0.36
"Lucian","Top",9,"0.3%","25.9%","38.9%","44%","78%",40,31,35,2.4,"58.6%","25.0%","11%",99,117,14.8,8.5,"26.8%",546,"29.1%","25.0%",0.48,0.26
"Lulu","Support",519,"17.0%","8.2%","25.2%","47%","62%",238,997,4228,4.5,"79.7%","16.5%","10%",-43,-94,-2.1,0.7,"2.0%",116,"6.0%","9.0%",1.44,0.34
"Lulu","Top",2,"0.1%","8.2%","25.2%","50%","0%",1,8,30,3.9,"91.2%","21.6%","50%",-2025,-2280,-65.5,0.8,"1.7%",91,"4.5%","10.5%",0.85,0.24
"Lux","Middle",1,"0.0%","0.4%","3.6%","0%","100%",0,2,3,1.5,"60.0%","14.3%","100%",-90,-402,-18,7.9,"25.3%",445,"34.4%","22.1%",0.4,0.03
"Lux","Support",97,"3.2%","0.4%","3.6%","55%","56%",93,272,737,3.1,"72.6%","24.7%","20%",121,8,-4.5,0.8,"3.5%",291,"14.5%","9.9%",1.28,0.37
"Malphite","Top",86,"2.8%","3.5%","6.3%","44%","91%",123,231,492,2.7,"58.0%","19.9%","5%",-245,-44,-9.9,7.4,"22.1%",416,"21.6%","19.7%",0.4,0.18
"Malzahar","Middle",2,"0.1%","0.0%","0.1%","100%","100%",6,3,14,6.7,"60.6%","18.8%","50%",-588,-291,-13.5,7.9,"24.4%",417,"21.1%","21.1%",0.49,0.28
"Maokai","Jungle",410,"13.4%","16.3%","30.3%","58%","34%",692,1059,3183,3.7,"74.5%","21.6%","17%",-57,-52,-0.9,5,"13.1%",464,"19.5%","16.8%",0.32,0.34
"Maokai","Support",18,"0.6%","16.3%","30.3%","50%","39%",20,56,140,2.9,"68.7%","24.2%","6%",20,11,0.2,1.3,"3.5%",248,"12.2%","9.6%",1.5,0.41
"Maokai","Top",2,"0.1%","16.3%","30.3%","50%","50%",1,6,16,2.8,"65.4%","25.0%","50%",-497,-479,-25,7.1,"21.5%",410,"19.4%","19.2%",0.4,0.04
"Milio","Support",119,"3.9%","10.4%","14.2%","53%","19%",37,180,992,5.7,"81.0%","14.7%","11%",-8,-78,0.9,0.9,"1.8%",63,"3.2%","9.2%",1.55,0.31
"Miss Fortune","ADC",29,"0.9%","0.5%","1.7%","59%","86%",118,74,170,3.9,"66.2%","18.9%","24%",199,99,8.5,9.1,"30.6%",646,"29.9%","25.8%",0.41,0.34
"Miss Fortune","Support",6,"0.2%","0.5%","1.7%","67%","100%",9,13,40,3.8,"58.3%","17.8%","-","-","-","-",1.4,"-",624,"23.6%","12.0%",1.97,0.58
"Mordekaiser","Top",16,"0.5%","0.3%","0.8%","44%","88%",43,51,47,1.8,"55.6%","28.2%","19%",-29,132,3.5,8,"22.4%",516,"25.9%","22.2%",0.33,0.11
"Morgana","Jungle",7,"0.2%","0.0%","0.4%","57%","86%",16,20,67,4.2,"78.3%","21.5%","29%",166,147,7,5.5,"15.3%",558,"21.6%","17.4%",0.89,0.37
"Morgana","Support",4,"0.1%","0.0%","0.4%","50%","100%",0,9,33,3.7,"76.7%","14.5%","0%",271,102,-9,0.6,"2.0%",241,"11.1%","10.1%",1.69,0.27
"Nami","Support",367,"12.0%","0.2%","12.2%","49%","37%",236,723,3267,4.8,"81.8%","17.2%","14%",-73,-42,-5.5,0.5,"1.7%",174,"8.1%","9.5%",1.54,0.32
"Nasus","Top",2,"0.1%","0.0%","0.1%","100%","100%",11,3,7,6,"45.0%","23.1%","-","-","-","-",8.5,"-",430,"22.0%","21.9%",0.45,0.13
